1;fr;Combien de personnes forment le groupe humoristique français Les Inconnus ?;3;4;5;6;Débutant;Ils étaient initialement cinq, avec Smaïn et Seymour Brussel qui quitteront le groupe après un an.;https://fr.wikipedia.org/wiki/Les_Inconnus
2;fr;Au Scrabble, combien de points valent les lettres K, W, X, Y et Z ?;10;8;6;12;Débutant;Il existe trois championnats du monde de Scrabble : anglophone, francophone et hispanophone.;https://fr.wikipedia.org/wiki/Scrabble
3;fr;Complétez ce titre de roman écrit par Ray Bradbury : « Fahrenheit »...;451;421;154;241;Débutant;Le titre fait référence au point d'auto-inflammation, en degrés Fahrenheit, du papier.;https://fr.wikipedia.org/wiki/Fahrenheit_451
4;fr;Quel était le numéro de maillot que portait Platini et Zidane en équipe de France ?;10;9;8;11;Débutant;Lors de l'Euro 1984, Michel Platini a établi un record de neuf buts marqués durant ce seul tournoi.;https://fr.wikipedia.org/wiki/Michel_Platini
5;fr;Traditionnellement, combien y a-t-il de pieds à une table de cuisine ?;4;3;5;6;Débutant;Initialement destinées à l'usage domestique, les tables ont aujourd'hui pénétré le monde industriel.;https://fr.wikipedia.org/wiki/Table
6;fr;Au théâtre, combien de coups sont frappés avec un bâton avant le lever du rideau ?;Trois;Quatre;Cinq;Six;Débutant;Au théâtre, les trois coups sont frappés sur le plancher de la scène avec un bâton appelé brigadier.;https://fr.wikipedia.org/wiki/Trois_coups
7;fr;Combien de Guerres mondiales eurent lieu au cours du 20e siècle ?;Deux;Une seule;Trois;Quatre;Débutant;Avant la Seconde Guerre mondiale, la Première Guerre mondiale était appelée la « Grande Guerre ».;https://fr.wikipedia.org/wiki/Guerre_mondiale
8;fr;En Europe, de combien de chiffres se compose le code PIN d'une carte bancaire ?;4;3;5;6;Débutant;Le code PIN est par exemple utilisé sur un téléphone mobile ou un smartphone équipés d'une carte SIM.;https://fr.wikipedia.org/wiki/Code_PIN
9;fr;Combien de personnes formaient autrefois le groupe de musique ABBA ?;Quatre;Trois;Cinq;Six;Débutant;En janvier 2010, une exposition temporaire, baptisée « ABBA World », a ouvert ses portes à Londres.;https://fr.wikipedia.org/wiki/ABBA
10;fr;En 1998, combien de buts marqua la France en finale de la Coupe du monde de football ?;Trois;Deux;Quatre;Cinq;Débutant;Le début de cette coupe du monde est endeuillé par la disparition du coprésident Fernand Sastre.;https://fr.wikipedia.org/wiki/Coupe_du_monde_de_football_de_1998
11;fr;Lors de la première saison, combien d'heures a duré l'aventure de l'agent Jack Bauer ?;24;22;20;18;Confirmé;Les auteurs de « 24 » ont collaboré avec Sutherland pour créer une « partie » de Jack Bauer.;https://fr.wikipedia.org/wiki/Jack_Bauer
12;fr;Combien de minutes réglementaires constituent un match de rugby à XV ?;80;60;40;20;Confirmé;L'International Rugby Board (IRB), créé en 1886, gouverne ce sport et en publie les règles.;https://fr.wikipedia.org/wiki/Rugby_à_XV
13;fr;À quel âge Jim Morrison, célèbre chanteurs des Doors, a-t-il trouvé la mort ?;27 ans;37 ans;47 ans;57 ans;Confirmé;Jim Morrison était devenu une véritable idole de la musique rock, mais aussi un intellectuel engagé.;https://fr.wikipedia.org/wiki/Jim_Morrison
14;fr;Quel est le numéro de maillot que Michael Jordan a porté avec les Chicago Bulls ?;23;13;33;3;Confirmé;Michael Jordan possède aujourd'hui sa propre écurie de superbike ainsi que de nombreux restaurants.;https://fr.wikipedia.org/wiki/Michael_Jordan
15;fr;Combien de films la saga « Retour vers le futur » comporte-t-elle ?;Trois;Quatre;Cinq;Six;Confirmé;Inspirée de l'oeuvre de René Barjavel, « le voyageur imprudent », la trilogie met en exergue deux paradoxes.;https://fr.wikipedia.org/wiki/Retour_vers_le_futur_(trilogie)
16;fr;Lors de la saison 2014 de F1, sur 19 Grand Prix, combien Lewis Hamilton en a-t-il gagné ?;11;9;7;13;Confirmé;Lewis Hamilton est l'un des plus proches amis de Rowan Atkinson, célèbre créateur et interprète du personnage de Mr. Bean.;https://fr.wikipedia.org/wiki/Lewis_Hamilton
17;fr;Combien de fois Pamela Anderson est-elle apparu en couverture du « Playboy » américain ?;13;11;9;7;Confirmé;Pamela Anderson milite également activement pour la défense animale, notamment aux côtés de l'association PETA.;https://fr.wikipedia.org/wiki/Pamela_Anderson
18;fr;Quel est le numéro de l'adresse qui abrite le Palais de l'Élysée, rue Faubourg Saint-Honoré ?;55;33;77;99;Confirmé;Le palais de l'Élysée est un hôtel particulier parisien construit par l'architecte Armand-Claude Mollet en 1720.;https://fr.wikipedia.org/wiki/Palais_de_l'Élysée
19;fr;Combien sont les frères Wachowski, devenus soeurs, réalisateurs de la trilogie « Matrix » ?;2;3;4;5;Confirmé;Suite à leur changement d'identité de genre, Larry est devenu Lana et Andy est devenu Lilly.;https://fr.wikipedia.org/wiki/Lana_et_Lilly_Wachowski
20;fr;Le 11 septembre 2001, combien d'avions ont percuté les tours du World Trade Center ?;2;3;4;5;Confirmé;Les événements du 11 septembre ont été vécus presque en temps réel par des centaines de millions de téléspectateurs.;https://fr.wikipedia.org/wiki/Attentats_du_11_septembre_2001
21;fr;Combien d'épisodes de la série télévisée « Friends » ont été tournés au total ?;236;216;186;256;Expert;La popularité de « Friends » a attiré vers cette sitcom un nombre important d'apparitions d'acteurs de premier plan.;https://fr.wikipedia.org/wiki/Friends
22;fr;Combien de romans ont pour protagoniste Fantômas, héros à la silhouette encagoulée ?;32;22;12;42;Expert;« Fantômas » demeure un des feuilletons les plus marquants de la littérature populaire en France.;https://fr.wikipedia.org/wiki/Fantômas
23;fr;Durant combien d'années John Fitzgerald Kennedy a-t-il été Président des États-Unis ?;Deux;Trois;Quatre;Cinq;Expert;John Fitzgerald Kennedy reste à ce jour le seul président américain de confession catholique.;https://fr.wikipedia.org/wiki/John_Fitzgerald_Kennedy
24;fr;Combien de pays sont frontaliers avec la République populaire de Chine ?;14;16;12;10;Expert;Ce nombre en fait, à égalité avec la Russie, l'État avec le plus de voisins au monde.;https://fr.wikipedia.org/wiki/Chine
25;fr;De combien d'épisodes est composée la série télévisée à succès « Breaking Bad » ?;62;52;42;32;Expert;La série se concentre sur Walter White, un professeur de chimie sur-qualifié et père de famille.;https://fr.wikipedia.org/wiki/Breaking_Bad
26;fr;Combien de fois le pilote Ayrton Senna a-t-il été champion du monde de Formule 1 ?;3;2;4;5;Expert;Ayrton Senna reste une véritable idole au Brésil où son statut a dépassé celui de simple champion sportif.;https://fr.wikipedia.org/wiki/Ayrton_Senna
27;fr;Véritable icône culturelle, en quelle année le boxeur Mohamed Ali est-il décédé ?;2016;2014;2012;2010;Expert;Mohamed Ali a été décoré en 2005 de la Médaille présidentielle de la Liberté.;https://fr.wikipedia.org/wiki/Mohamed_Ali
28;fr;Après combien de secondes la navette spatiale Challenger explosa-t-elle en vol en 1986 ?;73;53;93;113;Expert;La navette porte le nom du bateau qui mesura le fond marin le plus profond du globe.;https://fr.wikipedia.org/wiki/Challenger_(navette_spatiale)
29;fr;Combien d'oeuvres le corpus « La Comédie humaine » d'Honoré de Balzac comporte-t-il ?;93;83;73;63;Expert;Doué du génie de l'observation, Balzac a créé des types humains saisissants de vérité.;https://fr.wikipedia.org/wiki/La_Comédie_humaine
30;fr;Combien de sélections Zinédine Zidane a-t-il reçu en équipe de France de football ?;108;98;118;128;Expert;Célèbre numéro 10 des « Bleus », Zidane met un terme à sa carrière à la suite de la Coupe du monde 2006.;https://fr.wikipedia.org/wiki/Zinédine_Zidane
